;A;B;C;D;E;F;G;H, J;K;Regional
Cognitive;6;8;9;2;0;9;2;14;4;24
Informational;17;11;11;10;0;5;6;8;11;25
Institutional;17;6;25;9;5;23;10;10;10;48
Phys/Enviro;25;14;37;21;0;21;17;33;8;43
Resource;19;11;8;6;5;15;13;10;6;43
Social;15;22;11;6;9;16;13;9;7;21
